问题,答案,脚本
sản phẩm là gì;bán gì;hàng gì;giới thiệu đi,"Mình đang giới thiệu COMBO ĐIỀU TRỊ GÀU NẤM NGỨA Dr.Bee — dầu gội dược liệu từ tinh chất Nhộng Ong nguyên chất, chữa tận gốc gàu nấm, không SLS không Paraben không Silicone. Giá chỉ 590K cho combo hôm nay thôi nhé!",
dầu gội nhộng ong;nhộng ong;doctor bee;dr bee,"Dầu Gội Nhộng Ong Dr.Bee là sản phẩm dược liệu độc quyền — tinh chất nhộng ong lên men sinh học từ nông trại chuẩn hữu cơ Cần Thơ, kết hợp nhân sâm Tây Bắc và Collagen cá biển sâu. Chữa gàu nấm từ gốc, không tái phát. Bộ Y Tế cấp phép nhé bạn!",
giá bao nhiêu;bao nhiêu;giá;giá tiền,"COMBO điều trị gàu nấm hôm nay chỉ 590K bạn ơi! Giá gốc 840K đang giảm 30% trong buổi live. Freeship toàn quốc + hoàn tiền 100% nếu sau 15 ngày không cải thiện nhé!",
combo gì;có những gì;trong combo có gì,"Combo 590K gồm: 1 chai Dầu Gội Nhộng Ong + 1 Dầu Xả + 1 Bột Gội Nano. Đây là liệu trình Detoxx 60 ngày — giảm ngứa gàu rõ sau 7 ngày, tóc mọc dày sau 30 ngày. Tặng kèm ebook Bí quyết chăm sóc tóc từ gốc rễ!",
combo 4 tháng;liệu trình dài;combo lớn;1100,"Nếu muốn dứt điểm hoàn toàn thì bạn chọn Combo Liệu Trình 4 Tháng — giá chỉ 1.100K (gốc 1.680K). Gồm 2 Dầu Gội + 2 Dầu Xả + 2 Bột Ủ. Tặng thêm Mũ Điện Di Tinh Chất + Máy Sấy Dyson + Bộ mặt nạ vàng 24K — tổng quà 600K luôn nhé!",
có hại không;an toàn không;có hóa chất không;paraben;sls,"Dr.Bee KHÔNG có SLS, KHÔNG Paraben, KHÔNG Silicone bạn ơi! Mấy loại dầu gội thông thường như Clear, Sunsilk toàn chứa SLS bào mòn da đầu — dùng lâu gàu càng nhiều hơn. Dr.Bee dùng được cho cả mẹ bầu và da đầu nhạy cảm nhé!",
có hiệu quả không;dùng bao lâu thấy kết quả;bao lâu;kết quả,"Sau 7 ngày đầu bạn sẽ thấy da đầu dịu hơn, giảm ngứa rõ. Sau 30 ngày gàu giảm mạnh, tóc ít rụng hơn. Sau 60 ngày tóc mọc dày, da đầu khỏe. Cam kết hoàn tiền 100% nếu sau 15 ngày không cải thiện khi dùng đúng phác đồ nhé!",
ship không;giao hàng không;có ship không;freeship,"Freeship toàn quốc bạn ơi! Đặt trong live giao 2-3 ngày là nhận hàng. Thanh toán COD — xem hàng ưng mới trả tiền nhé!",
còn hàng không;hết chưa;có hàng không,"Hàng còn nhưng combo live hôm nay số lượng có hạn bạn ơi! Đặt nhanh để giữ giá 590K nhé, mai giá trở về bình thường rồi đó!",
đặt hàng sao;mua sao;mua ở đâu;chốt đơn,"Comment SĐT + Họ tên + Địa chỉ xuống dưới nhé bạn! Team Linh sẽ gọi xác nhận đơn trong vòng 5 phút. Đặt ngay hôm nay freeship + ưu đãi giá live nhé!",
thanh toán sao;cod không;momo;zalopay;chuyển khoản,"Thanh toán COD nhận hàng trả tiền, chuyển khoản, Momo hoặc ZaloPay đều được bạn nhé! Linh khuyến khích COD cho khách lần đầu — xem hàng rồi mới trả tiền, yên tâm 100%!",
bảo hành;đổi trả;trả hàng;hoàn tiền,"Cam kết hoàn tiền 100% nếu sau 15 ngày dùng đúng phác đồ mà không cải thiện nhé! Đổi trả trong 7 ngày nếu sản phẩm lỗi từ nhà sản xuất. Mua hàng yên tâm tuyệt đối!",
sunsilk;clear;pantene;dove;head and shoulders,"Chị ơi, mấy loại đó như Sunsilk, Clear, Dove là make up cho tóc thôi — Silicone tổng hợp tạo mượt ảo, lâu ngày bít tắc nang tóc, gàu càng nhiều hơn. Còn Dr.Bee là dưỡng từ gốc — mượt thật, khỏe thật, không tái phát nhé!",
bộ y tế;có phép không;chứng nhận;kiểm định,"Dr.Bee được Bộ Y Tế cấp phép, kiểm nghiệm lâm sàng đầy đủ bạn nhé! Không phải hàng trôi nổi, không phải hàng xách tay — sản xuất tại Việt Nam, chuẩn quy trình GMP. Tin tưởng mà dùng nhé!",
dùng cho ai;cho mẹ bầu được không;trẻ em;nhạy cảm,"Dr.Bee an toàn cho cả mẹ bầu, phụ nữ sau sinh, và da đầu nhạy cảm nhất nhé bạn! Không SLS, không Paraben — lành tính hoàn toàn từ thiên nhiên. Cho bé từ 3 tuổi trở lên cũng dùng được ạ!",
linh là ai;bạn là ai;ai đang live,"Mình là Linh — host AI của chương trình live Dr.Bee hôm nay! Mình ở đây để tư vấn sản phẩm và giúp bạn chọn được giải pháp phù hợp nhất cho vấn đề tóc và da đầu nhé!",
